backbone,layer_depth,sae_arch,saebench_status,proxy_loss_recovered,proxy_mse_reduction_vs_zero,proxy_mean_l0,proxy_dead_fraction,proxy_absorption_fraction,proxy_label_purity_top20,core_mean_l0,core_mean_l1,core_mse,core_mse_loss_recovered_vs_zero,core_explained_variance,core_explained_variance_legacy,core_cossim,core_l2_ratio,sparse_probe_f1_backbone,sparse_probe_f1_sae_latents,sparse_probe_f1_sae_topk,sparse_probe_f1_backbone_weighted,sparse_probe_f1_sae_latents_weighted,sparse_probe_f1_sae_topk_weighted,sparse_probe_f1_backbone_core_classes,sparse_probe_f1_sae_latents_core_classes,sparse_probe_num_classes,sparse_probe_num_images,sparse_probe_num_train_images,sparse_probe_top_k,sparse_probe_split,sparse_probe_landforms_only,sparse_probe_min_per_class_report,sparse_probe_eval_splits,sparse_probe_supp_f1_backbone,sparse_probe_supp_f1_sae_latents,sparse_probe_supp_f1_sae_topk,sparse_probe_supp_f1_backbone_weighted,sparse_probe_supp_f1_sae_latents_weighted,sparse_probe_supp_f1_sae_topk_weighted,sparse_probe_supp_f1_backbone_core_classes,sparse_probe_supp_f1_sae_latents_core_classes,sparse_probe_supp_num_classes,sparse_probe_supp_num_images,sparse_probe_supp_num_train_images,sparse_probe_supp_top_k,sparse_probe_supp_split,sparse_probe_supp_landforms_only,sparse_probe_supp_min_per_class_report,sparse_probe_supp_eval_splits,dead_fraction,loss_recovered,ablation_tag,protocol,dictionary_multiplier,preprocess_mode,aux_loss_weight,mono_mean_purity_top20_official,mono_median_purity_top20_official,mono_mean_purity_top20_legacy_denom,mono_fraction_high_purity_top20,mono_top_k,mono_n_test_images,tcav_mean_max_cos_per_class,tcav_median_max_cos_per_class,tcav_max_cos_any_class,tcav_mean_cos_all_pairs,dec_ortho_mean,dec_ortho_p95,mono_ms_mean,mono_ms_median,mono_ms_top10,mono_ms_n_live,geo_hier_mean,geo_hier_median,geo_hier_frac_positive,geo_hier_n_live,ood_gap,ood_gap_backbone,spatial_cons_mean,spatial_cons_std,spatial_cons_n_live
mars_orbital_vit,middle,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9629579367555048,0.8014441877166745,40.0,0.1484375,0.8947,0.603440366972477,40.0,108.43903350830078,0.2197505235671997,0.8012678787659253,0.7797681093215942,0.7583074569702148,0.8790804147720337,0.8801088333129883,0.7846117235044996,0.7304490333708651,0.5171839970309358,0.8437734743089226,0.8160847450008739,0.5569293202331788,0.8593259781236906,0.7953840646758674,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.703677203583327,0.7203210124251196,0.4912846467143765,0.8493285936139207,0.8670738015574723,0.6386432804366093,0.703677203583327,0.7203210124251196,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.1484375,0.9629579367555048,middle_topk_d1_perdim_aux1p0,winner,1,per_dim,1.0,0.5892966360856269,0.55,0.5898063200815494,0.2140672782874617,20.0,311.0,0.3221999449389321,0.3002052307128906,0.4049218297004699,0.0014422182594747,0.003545660059899,0.094176672399044,0.3047099069803269,0.2607682347297668,0.689181159843098,654.0,-0.0168195718654434,0.0,0.0122324159021406,654.0,0.0101280209457454,0.0809345199211726,5.193589845580305,0.431472537792358,654.0
mars_orbital_vit,middle,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9609904530330426,0.8040961721109957,40.0,0.4264323115348816,0.8921,0.592395005675369,40.0,109.9535675048828,0.216993436217308,0.8038712304879783,0.7826268672943115,0.7614700198173523,0.8808469176292419,0.8888113498687744,0.7680878725410293,0.7623513778542207,0.5772652991751998,0.8260903271675273,0.8513449487328354,0.6054193568741649,0.8391528087914834,0.8443254218188756,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.706390743225988,0.7196174604171217,0.4681762746012721,0.8482973099233886,0.8583799789816362,0.6527354092277244,0.706390743225988,0.7196174604171217,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.4264323115348816,0.9609904530330426,middle_matryoshka_d2_perdim_aux1p0,winner,2,per_dim,1.0,0.5772675086107922,0.55,0.5772611754370471,0.1917336394948335,20.0,311.0,0.3194034142153604,0.3122831284999847,0.3709176182746887,0.0009654745056303,0.0004807607328984,0.0733875855803489,0.2868238873159605,0.2474670261144638,0.6680724525993521,871.0,-0.0373134328358208,0.0,0.0149253731343283,871.0,0.0427339174370989,0.0616971293150412,5.047779716165891,0.6010108804404688,871.0
mars_orbital_vit,late,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9727510690241808,0.8254796679705525,40.0,0.0455729365348815,0.7421,0.711255115961801,40.0,98.77928924560548,0.1975010186433792,0.8255966815171447,0.8063532114028931,0.7592850923538208,0.8823567628860474,0.8833039999008179,0.8245791595399959,0.7030096745902288,0.6245221353529776,0.8950854752288893,0.808653401659451,0.7158861068048497,0.8976041006669186,0.7736488814026408,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.7105835642746744,0.7169037473431408,0.6239052396078442,0.8664325632186706,0.8718845573267813,0.7642418389228991,0.7105835642746744,0.7169037473431408,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.0455729365348815,0.9727510690241808,late_topk_d1_perdim_aux1p0,winner,1,per_dim,1.0,0.6437926330150068,0.6,0.6437926330150068,0.3137789904502046,20.0,311.0,0.2092909685203007,0.2003631144762039,0.2608180940151214,0.0010324326340629,0.004353794734925,0.0888319462537765,0.3104532678772938,0.2641014456748962,0.7223776844707696,733.0,-0.0141541609822646,0.0,0.0054570259208731,733.0,-0.0138940727529119,0.1139955952653215,5.314712903669102,0.3031941086413616,733.0
mars_orbital_vit,late,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.969515665752143,0.8297177202359605,40.0,0.2473958134651184,0.6982,0.6634948096885813,40.0,98.6753921508789,0.1895770281553268,0.8296331255268768,0.813302218914032,0.7684705853462219,0.8872649073600769,0.8958383202552795,0.8218335682723775,0.7322616134727936,0.6295142960967063,0.8919365796046653,0.8115144172043375,0.7040853085552857,0.8937602728922529,0.7836078173034695,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.7122439387976333,0.719240173469761,0.5692840244499165,0.8671588592998392,0.8685337541637098,0.7327182721005288,0.7122439387976333,0.719240173469761,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.2473958134651184,0.969515665752143,late_matryoshka_d2_perdim_aux1p0,winner,2,per_dim,1.0,0.6152946273830155,0.55,0.6150897642038968,0.2512998266897747,20.0,311.0,0.3094645334141595,0.3254908919334411,0.3889803290367126,0.0001540479345348,0.0006208110717125,0.0749985128641128,0.2844271353418507,0.233335331082344,0.6953597613449755,1154.0,-0.0380199306759098,0.0,0.0155979202772963,1154.0,0.0130214400030326,0.1095896294747442,5.189102539413367,0.4322675970382482,1154.0
momo,middle,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9941268893851858,0.9457633565524112,40.0,0.6328125,0.9895,0.4946808510638298,40.0,124.53501892089844,0.060004886239767,0.9457583323329638,0.9404173493385316,0.9384562969207764,0.969631016254425,0.9698675274848938,0.6889065221028933,0.7758650173432697,0.6160940548080732,0.7594484665537177,0.8153947790001227,0.6944138537027964,0.7620881785630981,0.8179999560695095,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.645386834606743,0.6249159910293847,0.4519721158991763,0.779743100532138,0.7539613836712983,0.6218505431840357,0.645386834606743,0.6249159910293847,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.6458333432674408,0.9937884360053646,middle_topk_d1_perdim_aux1p0_full,winner,1,per_dim,1.0,0.5065371024734983,0.45,0.5043729913819293,0.1060070671378091,20.0,311.0,0.287284710577556,0.2476860731840133,0.4034341871738434,0.0004718915832069,0.0013917869655415,0.0692304745316505,0.2501370583307335,0.1701927483081817,0.813049082098336,283.0,-0.0123674911660777,0.0,0.0,283.0,0.150949026313885,0.0435196874961503,4.167336388254168,1.1559453811813512,283.0
momo,middle,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9946507406738194,0.9448441681778414,40.0,0.8352864533662796,0.9867,0.5009881422924901,40.0,119.08545684814452,0.0613404586911201,0.9448391888688936,0.9391050934791564,0.9372239708900452,0.9690074324607848,0.9690805077552797,0.6889065221028933,0.7022469603329969,0.5036240185792809,0.7594484665537177,0.7623943698655221,0.6003095559588407,0.7620881785630981,0.753321183062687,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.6461149058939805,0.6626830624496493,0.4818854105381004,0.7805405724884713,0.787768697394629,0.6307228350854798,0.6461149058939805,0.6626830624496493,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.83984375,0.9940351859863406,middle_matryoshka_d2_perdim_aux1p0_full,winner,2,per_dim,1.0,0.5118110236220472,0.5,0.512551785806186,0.1023622047244094,20.0,311.0,0.2826283425092697,0.2720227539539337,0.391082227230072,0.000223389219389,0.0003494247794151,0.0625695660710334,0.2601950575824915,0.1733542904257774,0.8473903307547936,254.0,-0.0088582677165354,0.0,0.0,254.0,0.0395638978833476,0.0427916162089128,4.278329872758123,1.1098331419709773,254.0
momo,late,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9956423892092352,0.9562951498548258,40.0,0.6549479067325592,0.9906,0.4917610062893082,40.0,116.97989654541016,0.0479358583688735,0.9562915396821152,0.9524259567260742,0.9511300921440125,0.9759513139724731,0.9760677218437196,0.7134571426846751,0.7250605307519127,0.4850598404537601,0.7732243748087371,0.7792955860291347,0.6081037319351018,0.771579540919139,0.7682276001955349,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.6594895711265163,0.6713923691539003,0.4663849350793081,0.7744965782724141,0.780526439096138,0.6335541932187951,0.6594895711265163,0.6713923691539003,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.6549479067325592,0.9956423892092352,late_topk_d1_perdim_aux1p0,winner,1,per_dim,1.0,0.5234848484848484,0.5,0.5193367869504234,0.1022727272727272,20.0,311.0,0.2730268580572946,0.2613725960254669,0.3319168984889984,0.0005515097026047,0.0013624138664454,0.0689376667141914,0.2666536361919663,0.1758138984441757,0.8935491663438303,264.0,-0.012310606060606,0.0,0.0,264.0,0.0536681615980123,0.0539675715581587,4.097819627476498,1.1333068920783018,264.0
momo,late,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9957268205313152,0.9551906180406412,40.0,0.8444010466337204,0.9874,0.4920502092050209,40.0,117.0656509399414,0.0490631870925426,0.9551871734488268,0.9513057470321656,0.9500277042388916,0.9754014611244202,0.9755064845085144,0.7226584257597172,0.6147348525229491,0.587455742162968,0.7830952358357354,0.7006694400186071,0.6874082711347163,0.7844613372241979,0.6935096381776794,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.6516843727506431,0.6162504084302352,0.4744126089384797,0.7706232232404059,0.7388734717798373,0.6193631162491392,0.6516843727506431,0.6162504084302352,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.8444010466337204,0.9957268205313152,late_matryoshka_d2_perdim_aux1p0,winner,2,per_dim,1.0,0.5156903765690375,0.5,0.5169456066945606,0.1129707112970711,20.0,311.0,0.2990308212382452,0.2908408641815185,0.3445706963539123,0.0004939939936624,0.0002832787577062,0.0627181753516197,0.2654740391383152,0.1815483719110489,0.8997448061903318,239.0,-0.0094142259414225,0.0,0.0,239.0,-0.001515555907286,0.0709740530090741,4.113132838569781,1.1657904383867188,239.0
dinov3_sat493m,middle,topk,extra:dec_ortho+geo_hier+mono_ms+spatial,1.0276549741903311,0.7381206387596352,40.0,0.279296875,0.8386,0.4862466124661247,40.0,119.14146423339844,0.3066229522228241,0.7381120318663279,0.698854923248291,0.6606543064117432,0.8209089040756226,0.8210417628288269,0.6532912874317905,0.7047983549842366,0.4132833691532419,0.7347603715884358,0.7672599264229084,0.5099745436188083,0.727675355006943,0.7581462684065027,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.6682448624637374,0.770043974896692,0.4082384867576301,0.7828259233201065,0.8553747913186717,0.5898135824318054,0.6682448624637374,0.770043974896692,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.279296875,1.0276549741903311,middle_topk_d1_perdim_aux1p0,winner,1,per_dim,1.0,0.5145663956639567,0.475,0.5129306598743282,0.1111111111111111,20.0,311.0,0.1777252129146031,0.1781726479530334,0.2080006003379821,-0.0017927256245522,0.0067009828053414,0.0726378634572029,0.2149305029418559,0.1481125280261039,0.6977651610567763,738.0,-0.0155826558265582,0.0,0.010840108401084,738.0,-0.0652456199124553,-0.0149535750319468,4.795008194744887,0.4816977125134261,738.0
dinov3_sat493m,middle,matryoshka,extra:dec_ortho+geo_hier+mono_ms+spatial,0.9960040000867656,0.7316481014349503,40.0,0.51025390625,0.8339,0.4846426657684062,40.0,120.08731079101562,0.3027424216270447,0.7316416792237901,0.7027579545974731,0.6649045348167419,0.8234937787055969,0.8319869637489319,0.6523127276788206,0.7192078101081704,0.3437048208792923,0.7342417416442053,0.7645301893533404,0.4459176230307177,0.7263053713527852,0.7603923347116625,7.0,311.0,11039.0,40.0,official_test,True,20.0,test,0.6750398879383157,0.7133911871012539,0.3796054822009482,0.7831253929623494,0.8126685353040707,0.5709109625377344,0.6750398879383157,0.7133911871012539,7.0,4049.0,11039.0,40.0,val_test,True,20.0,"val,test",0.51025390625,0.9960040000867656,middle_matryoshka_d2_perdim_aux1p0,winner,2,per_dim,1.0,0.5089178356713426,0.45,0.5027400196999458,0.1122244488977955,20.0,311.0,0.2762976884841919,0.2871951460838318,0.3312761783599853,0.0010612299202291,0.0011311856796965,0.058536060154438,0.2113831015952151,0.1432421952486038,0.6937698262929917,998.0,-0.0136523046092184,0.0,0.0250501002004008,998.0,0.0058166230069164,-0.022727160259495,4.608260011942479,0.6201921397582453,998.0
