backbone,layer_depth,sae_arch,ablation_tag,dictionary_multiplier,aux_loss_weight,dead_fraction,dead_ok,core_explained_variance,core_ev_ok,sparse_probe_f1_sae_latents,sparse_probe_f1_backbone,sparse_probe_supp_f1_sae_latents,mono_mean_purity_top20_official,mono_median_purity_top20_official,mono_mean_purity_top20_legacy_denom,mono_fraction_high_purity_top20,mono_top_k,mono_n_test_images,tcav_mean_max_cos_per_class,tcav_median_max_cos_per_class,tcav_max_cos_any_class,tcav_mean_cos_all_pairs,dec_ortho_mean,dec_ortho_p95,mono_ms_mean,mono_ms_median,mono_ms_top10,mono_ms_n_live,geo_hier_mean,geo_hier_median,geo_hier_frac_positive,geo_hier_n_live,ood_gap,ood_gap_backbone,spatial_cons_mean,spatial_cons_std,spatial_cons_n_live
croma,late,matryoshka,late_matryoshka_d2_perdim_aux1p0,2,1.0,0.87109375,False,0.982122242450714,True,0.5874647857324488,0.6147362614077156,0.5320715862173206,0.5309644670050762,0.5,0.5309644670050762,0.0812182741116751,20.0,311.0,0.3431859910488128,0.3287726640701294,0.4342438280582428,-8.636266559982513e-05,0.000268323929049,0.0631674379110336,0.5317388949868491,0.5057226419448853,0.9575326651334762,197.0,-0.0025380710659898,0.0,0.0,197.0,0.0553931995151281,0.0632805123151346,5.332673669585683,0.2618999153740332,197.0
croma,late,topk,late_topk_d1_perdim_aux1p0,1,1.0,0.7265625,False,0.9825594425201416,True,0.6195964659159399,0.6118912559603539,0.5443346904645128,0.5423444976076555,0.5,0.5437799043062201,0.124401913875598,20.0,311.0,0.2140009445803506,0.20913165807724,0.2717968821525574,-2.809868525825247e-05,0.001099418499507,0.070487767457962,0.5281660256742469,0.5560704469680786,0.9620820766403562,209.0,-0.0035885167464114,0.0,0.0,209.0,0.0752617754514271,0.0592077304215743,5.272732890600088,0.5893774619005999,209.0
croma,middle,matryoshka,middle_matryoshka_d2_perdim_aux1p0,2,1.0,0.8815104141831398,False,0.986822783946991,True,0.5794855424293227,0.6060914331890518,0.4759559031472624,0.5290502793296089,0.5,0.5298882681564245,0.0837988826815642,20.0,311.0,0.3198790677956172,0.3062045276165008,0.3826785981655121,-3.4324570319335004e-05,0.0004052658041473,0.0632585436105728,0.5092388251783357,0.4837369918823242,0.960913340250651,179.0,-0.0013966480446927,0.0,0.0,179.0,0.1035296392820603,0.0912714524797992,5.294735523057657,0.4816491539029748,179.0
croma,middle,topk,middle_topk_d1_perdim_aux1p0,1,1.0,0.7630208283662796,False,0.9869961142539978,True,0.6030327001826385,0.6063701582862795,0.5188805948223237,0.5306629834254143,0.5,0.5306629834254143,0.0939226519337016,20.0,311.0,0.1912015889372144,0.1784019470214843,0.2467695474624633,0.0001445667039336,0.0006694984622299,0.0689112171530723,0.5263013755561763,0.5276055335998535,0.9659961901212992,181.0,-0.0013812154696132,0.0,0.0,181.0,0.0841521053603148,0.091910602311104,5.318981685995211,0.2800453735250495,181.0
dinov3_sat493m,late,matryoshka,late_matryoshka_d2_perdim_aux1p0,2,1.0,0.349609375,True,0.6855951547622681,True,0.7497481839312284,0.8225017594233106,0.7708815826934828,0.5746601208459213,0.55,0.571784153170479,0.2009063444108761,20.0,311.0,0.3248807404722486,0.3298782110214233,0.4431760907173157,0.0007173482041277,0.0011664713965728,0.0646481812000274,0.2642312922129503,0.2191092446446418,0.6360491442501097,1324.0,-0.0319108761329305,0.0,0.0188821752265861,1324.0,-0.0211333987622543,0.0789471324282287,4.629530866691897,0.5939492402915847,1324.0
dinov3_sat493m,late,topk,late_topk_d1_perdim_aux1p0,1,1.0,0.1279296875,True,0.6797056198120117,True,0.8315362963367166,0.8225017594233106,0.7431180659804763,0.593505039193729,0.55,0.5938097224705485,0.2273236282194848,20.0,311.0,0.1881172720875059,0.1764471977949142,0.2442436516284942,-0.0010851274874507,0.0069481660611927,0.0839082449674606,0.2779998298085733,0.2503795921802521,0.6410194198290508,893.0,-0.0117581187010078,0.0,0.019036954087346,893.0,0.0884182303562403,0.0789471324282287,4.86102796543205,0.4210751340545964,893.0
dinov3_sat493m,middle,matryoshka,middle_matryoshka_d2_perdim_aux1p0,2,1.0,0.51025390625,False,0.7027579545974731,True,0.7192078101081704,0.6523127276788206,0.7133911871012539,0.5089178356713426,0.45,0.5027400196999458,0.1122244488977955,20.0,311.0,0.2762976884841919,0.2871951460838318,0.3312761783599853,0.0010612299202291,0.0011311856796965,0.058536060154438,0.2113831015952151,0.1432421952486038,0.6937698262929917,998.0,-0.0136523046092184,0.0,0.0250501002004008,998.0,0.0058166230069164,-0.022727160259495,4.608260011942479,0.6201921397582453,998.0
dinov3_sat493m,middle,topk,middle_topk_d1_perdim_aux1p0,1,1.0,0.279296875,True,0.698854923248291,True,0.7047983549842366,0.6532912874317905,0.770043974896692,0.5145663956639567,0.475,0.5129306598743282,0.1111111111111111,20.0,311.0,0.1777252129146031,0.1781726479530334,0.2080006003379821,-0.0017927256245522,0.0067009828053414,0.0726378634572029,0.2149305029418559,0.1481125280261039,0.6977651610567763,738.0,-0.0155826558265582,0.0,0.010840108401084,738.0,-0.0652456199124553,-0.0149535750319468,4.795008194744887,0.4816977125134261,738.0
mars_orbital_vit,late,matryoshka,late_matryoshka_d2_perdim_aux1p0,2,1.0,0.2473958134651184,True,0.813302218914032,True,0.7322616134727936,0.8218335682723775,0.719240173469761,0.6152946273830155,0.55,0.6150897642038968,0.2512998266897747,20.0,311.0,0.3094645334141595,0.3254908919334411,0.3889803290367126,0.0001540479345348,0.0006208110717125,0.0749985128641128,0.2844271353418507,0.233335331082344,0.6953597613449755,1154.0,-0.0380199306759098,0.0,0.0155979202772963,1154.0,0.0130214400030326,0.1095896294747442,5.189102539413367,0.4322675970382482,1154.0
mars_orbital_vit,late,topk,late_topk_d1_perdim_aux1p0,1,1.0,0.0455729365348815,True,0.8063532114028931,True,0.7030096745902288,0.8245791595399959,0.7169037473431408,0.6437926330150068,0.6,0.6437926330150068,0.3137789904502046,20.0,311.0,0.2092909685203007,0.2003631144762039,0.2608180940151214,0.0010324326340629,0.004353794734925,0.0888319462537765,0.3104532678772938,0.2641014456748962,0.7223776844707696,733.0,-0.0141541609822646,0.0,0.0054570259208731,733.0,-0.0138940727529119,0.1139955952653215,5.314712903669102,0.3031941086413616,733.0
