backbone,ablation_tag,layer_depth,sae_arch,saebench_status,proxy_loss_recovered,proxy_mse_reduction_vs_zero,proxy_mean_l0,proxy_dead_fraction,proxy_absorption_fraction,proxy_label_purity_top20,mono_mean_purity_top20_official,mono_median_purity_top20_official,mono_mean_purity_top20_legacy_denom,mono_fraction_high_purity_top20,mono_top_k,mono_n_test_images,tcav_mean_max_cos_per_class,tcav_median_max_cos_per_class,tcav_max_cos_any_class,tcav_mean_cos_all_pairs
croma,late_matryoshka_d2_perdim_aux1p0,late,matryoshka,interpretability:mono+tcav,0.9980040963809704,0.9839997245522092,40.0,0.87109375,0.9933,0.4787878787878787,0.5309644670050762,0.5,0.5309644670050762,0.0812182741116751,20.0,311.0,0.3431859910488128,0.3287726640701294,0.4342438280582428,-8.636266559982513e-05
croma,late_topk_d1_perdim_aux1p0,late,topk,interpretability:mono+tcav,0.9982238681951064,0.9841959544428688,40.0,0.7265625,0.9969,0.5095238095238095,0.5423444976076555,0.5,0.5437799043062201,0.124401913875598,20.0,311.0,0.2140009445803506,0.20913165807724,0.2717968821525574,-2.809868525825247e-05
croma,,late_matryoshka_d2_perdim_aux1p0,croma,"error: size mismatch, got input (768), mat (768x1536), vec (768)",,,,,,,,,,,,,,,,
croma,,late_topk_d1_perdim_aux1p0,croma,interpretability:mono+tcav,0.9982238681951064,0.9841959544428688,40.0,0.7265625,0.9969,0.5095238095238095,0.5241279069767443,0.5,0.5185174193931125,0.0697674418604651,20.0,311.0,0.183158625449453,0.1891156286001205,0.2115055620670318,-0.0003048668479225
croma,middle_matryoshka_d2_perdim_aux1p0,middle,matryoshka,interpretability:mono+tcav,0.9984164234581292,0.9880836972211898,40.0,0.8815104141831398,0.9996,0.5010989010989011,0.5290502793296089,0.5,0.5298882681564245,0.0837988826815642,20.0,311.0,0.3198790677956172,0.3062045276165008,0.3826785981655121,-3.4324570319335004e-05
croma,middle_topk_d1_perdim_aux1p0,middle,topk,interpretability:mono+tcav,0.9986819300642078,0.9884004337541388,40.0,0.7630208283662796,0.9994,0.4884615384615385,0.5306629834254143,0.5,0.5306629834254143,0.0939226519337016,20.0,311.0,0.1912015889372144,0.1784019470214843,0.2467695474624633,0.0001445667039336
croma,,middle_matryoshka_d2_perdim_aux1p0,croma,"error: size mismatch, got input (768), mat (768x1536), vec (768)",,,,,,,,,,,,,,,,
croma,,middle_topk_d1_perdim_aux1p0,croma,interpretability:mono+tcav,0.9986819300642078,0.9884004337541388,40.0,0.7630208283662796,0.9994,0.4884615384615385,0.5443396226415094,0.5,0.528581117981784,0.1320754716981132,20.0,311.0,0.1938217197145734,0.19015833735466,0.2241863310337066,-0.0003166140406305
dinov3_sat493m,late_matryoshka_d2_perdim_aux1p0,late,matryoshka,interpretability:mono+tcav,0.9732025800474904,0.7177944353269213,40.0,0.349609375,0.7511,0.581281247615742,0.5746601208459213,0.55,0.571784153170479,0.2009063444108761,20.0,311.0,0.3248807404722486,0.3298782110214233,0.4431760907173157,0.0007173482041277
dinov3_sat493m,late_topk_d1_perdim_aux1p0,late,topk,interpretability:mono+tcav,0.9903041510684956,0.7183740918251946,40.0,0.1279296875,0.7755,0.6044792833146696,0.593505039193729,0.55,0.5938097224705485,0.2273236282194848,20.0,311.0,0.1881172720875059,0.1764471977949142,0.2442436516284942,-0.0010851274874507
