backbone,layer_depth,n_train_images,source,hidden_dim,n_samples,participation_ratio,k_50,k_80,k_90,k_95,k_99
croma,late,11039,extracted,768,11039,2.226912739558308,1,2,3,5,18
croma,middle,11039,extracted,768,11039,2.0626269863563396,1,2,3,4,12
dinov3_sat493m,late,11039,extracted,1024,11039,24.708881684204,8,46,115,224,560
dinov3_sat493m,middle,11039,extracted,1024,11039,10.668528606073874,4,14,26,49,178
mars_orbital_vit,late,11039,extracted,768,11039,17.82474153042653,6,41,100,195,469
mars_orbital_vit,middle,11039,cache,768,11039,18.709368137431145,7,29,62,116,334
momo,late,11039,cache,768,11039,2.2582168439978645,1,3,5,8,32
momo,middle,11039,cache,768,11039,2.3067774982248994,1,3,5,9,36
satmae_pp,late,11039,cache,1024,11039,5.477368353199844,2,10,25,55,225
satmae_pp,middle,11039,cache,1024,11039,3.6072490124010663,2,6,12,28,121
